NRLMLS NS
[[-82. 160.] [-78. 164.]],NULL,LAND
[[-82. 164.] [-78. 168.]],NULL,LAND
[[-82. 168.] [-78. 172.]],NULL,LAND
[[-82. 172.] [-78. 176.]],NULL,LAND
[[-82. 176.] [-78. 180.]],NULL,LAND
[[ -78. -180.] [ -74. -176.]],NULL,LAND
[[ -78. -176.] [ -74. -172.]],NULL,LAND
[[ -78. -172.] [ -74. -168.]],NULL,LAND
[[ -78. -168.] [ -74. -164.]],NULL,LAND
[[ -78. -164.] [ -74. -160.]],NULL,LAND
[[ -78. -160.] [ -74. -156.]],NULL,LAND
[[ -78. -156.] [ -74. -152.]],NULL,LAND
[[ -78. -152.] [ -74. -148.]],NULL,LAND
[[ -78. -148.] [ -74. -144.]],NULL,LAND
[[ -78. -144.] [ -74. -140.]],NULL,LAND
[[ -78. -140.] [ -74. -136.]],NULL,LAND
[[ -78. -136.] [ -74. -132.]],NULL,LAND
[[ -78. -132.] [ -74. -128.]],NULL,LAND
[[ -78. -128.] [ -74. -124.]],NULL,LAND
[[ -78. -124.] [ -74. -120.]],NULL,LAND
[[ -78. -120.] [ -74. -116.]],NULL,LAND
[[ -78. -116.] [ -74. -112.]],NULL,LAND
[[ -78. -112.] [ -74. -108.]],NULL,LAND
[[ -78. -108.] [ -74. -104.]],NULL,LAND
[[ -78. -104.] [ -74. -100.]],NULL,LAND
[[ -78. -100.] [ -74.  -96.]],NULL,LAND
[[-78. -96.] [-74. -92.]],NULL,LAND
[[-78. -92.] [-74. -88.]],NULL,LAND
[[-78. -88.] [-74. -84.]],NULL,LAND
[[-78. -84.] [-74. -80.]],NULL,LAND
[[-78. -80.] [-74. -76.]],NULL,LAND
[[-78. -76.] [-74. -72.]],NULL,LAND
[[-78. -72.] [-74. -68.]],NULL,LAND
[[-78. -68.] [-74. -64.]],NULL,LAND
[[-78. -64.] [-74. -60.]],NULL,LAND
[[-78. -60.] [-74. -56.]],NULL,LAND
[[-78. -56.] [-74. -52.]],NULL,LAND
[[-78. -52.] [-74. -48.]],NULL,LAND
[[-78. -48.] [-74. -44.]],NULL,LAND
[[-78. -44.] [-74. -40.]],NULL,LAND
[[-78. -40.] [-74. -36.]],NULL,LAND
[[-78. -36.] [-74. -32.]],NULL,LAND
[[-78. -32.] [-74. -28.]],NULL,LAND
[[-78. -28.] [-74. -24.]],NULL,LAND
[[-78. -24.] [-74. -20.]],NULL,LAND
[[-78. -20.] [-74. -16.]],NULL,LAND
[[-78. -16.] [-74. -12.]],NULL,LAND
[[-78. -12.] [-74.  -8.]],NULL,LAND
[[-78.  -8.] [-74.  -4.]],NULL,LAND
[[-78.  -4.] [-74.   0.]],NULL,LAND
[[-78.   0.] [-74.   4.]],NULL,LAND
[[-78.   4.] [-74.   8.]],NULL,LAND
[[-78.   8.] [-74.  12.]],NULL,LAND
[[-78.  12.] [-74.  16.]],NULL,LAND
[[-78.  16.] [-74.  20.]],NULL,LAND
[[-78.  20.] [-74.  24.]],NULL,LAND
[[-78.  24.] [-74.  28.]],NULL,LAND
[[-78.  28.] [-74.  32.]],NULL,LAND
[[-78.  32.] [-74.  36.]],NULL,LAND
[[-78.  36.] [-74.  40.]],NULL,LAND
[[-78.  40.] [-74.  44.]],NULL,LAND
[[-78.  44.] [-74.  48.]],NULL,LAND
[[-78.  48.] [-74.  52.]],NULL,LAND
[[-78.  52.] [-74.  56.]],NULL,LAND
[[-78.  56.] [-74.  60.]],NULL,LAND
[[-78.  60.] [-74.  64.]],NULL,LAND
[[-78.  64.] [-74.  68.]],NULL,LAND
[[-78.  68.] [-74.  72.]],NULL,LAND
[[-78.  72.] [-74.  76.]],NULL,LAND
[[-78.  76.] [-74.  80.]],NULL,LAND
[[-78.  80.] [-74.  84.]],NULL,LAND
[[-78.  84.] [-74.  88.]],NULL,LAND
[[-78.  88.] [-74.  92.]],NULL,LAND
[[-78.  92.] [-74.  96.]],NULL,LAND
[[-78.  96.] [-74. 100.]],NULL,LAND
[[-78. 100.] [-74. 104.]],NULL,LAND
[[-78. 104.] [-74. 108.]],NULL,LAND
[[-78. 108.] [-74. 112.]],NULL,LAND
[[-78. 112.] [-74. 116.]],NULL,LAND
[[-78. 116.] [-74. 120.]],NULL,LAND
[[-78. 120.] [-74. 124.]],NULL,LAND
[[-78. 124.] [-74. 128.]],NULL,LAND
[[-78. 128.] [-74. 132.]],NULL,LAND
[[-78. 132.] [-74. 136.]],NULL,LAND
[[-78. 136.] [-74. 140.]],NULL,LAND
[[-78. 140.] [-74. 144.]],NULL,LAND
[[-78. 144.] [-74. 148.]],NULL,LAND
[[-78. 148.] [-74. 152.]],NULL,LAND
[[-78. 152.] [-74. 156.]],NULL,LAND
[[-78. 156.] [-74. 160.]],NULL,LAND
[[-78. 160.] [-74. 164.]],NULL,LAND
[[-78. 164.] [-74. 168.]],NULL,LAND
[[-78. 168.] [-74. 172.]],NULL,LAND
[[-78. 172.] [-74. 176.]],NULL,LAND
[[-78. 176.] [-74. 180.]],NULL,LAND
[[ -74. -180.] [ -70. -176.]],BaggingClassifier,0.573714160448061
[[ -74. -176.] [ -70. -172.]],RandomForestClassifier,0.4767600890603722
[[ -74. -172.] [ -70. -168.]],RandomForestClassifier,0.7103400258872175
[[ -74. -168.] [ -70. -164.]],RandomForestClassifier,0.7217867798513997
[[ -74. -164.] [ -70. -160.]],BaggingClassifier,0.8054002388392144
[[ -74. -160.] [ -70. -156.]],BaggingClassifier,0.8126148992274709
[[ -74. -156.] [ -70. -152.]],GradientBoostingClassifier,0.6654782857772812
[[ -74. -152.] [ -70. -148.]],RandomForestClassifier,0.6921439626647061
[[ -74. -148.] [ -70. -144.]],RandomForestClassifier,0.8164796737241581
[[ -74. -144.] [ -70. -140.]],RandomForestClassifier,0.7812320748237126
[[ -74. -140.] [ -70. -136.]],RandomForestClassifier,0.7538774285996483
[[ -74. -136.] [ -70. -132.]],RandomForestClassifier,0.7031382527704956
[[ -74. -132.] [ -70. -128.]],BaggingClassifier,0.7205596305610988
[[ -74. -128.] [ -70. -124.]],RandomForestClassifier,0.6856718629665084
[[ -74. -124.] [ -70. -120.]],RandomForestClassifier,0.7058708380069294
[[ -74. -120.] [ -70. -116.]],BaggingClassifier,0.8034897645794091
